primary,other,mean_lead_all_diff,perm_p_value,wilcoxon_p_value,det_primary_only,det_other_only,mcnemar_p_value
esn_cusum_max,rolling_surprisal,4.1675,4.999750012499375e-05,7.25346561357621e-51,263,0,1.349401336733507e-79
esn_cusum_max,cosine_drift,3.94,4.999750012499375e-05,1.271031365332208e-41,269,16,2.016173392194954e-60
esn_cusum_max,iforest,3.4875,4.999750012499375e-05,4.73911398089246e-36,224,6,2.2924342357956145e-58
esn_cusum_max,self_drift,3.0325,4.999750012499375e-05,2.6671135241850745e-23,242,33,1.8677339021840914e-40
esn_cusum_max,esn[m],2.115,4.999750012499375e-05,5.7790299660063604e-33,188,1,4.842999409842655e-55
esn_cusum_max,mahalanobis,2.01,4.999750012499375e-05,3.8017803025734582e-25,183,3,2.1872657444119354e-50
esn_cusum_max,esn[u],1.86,4.999750012499375e-05,5.769899576315491e-07,166,27,1.3259642922070804e-25
esn_cusum_max,esn_cusum[m],1.5275,4.999750012499375e-05,7.26373442714181e-30,128,0,5.877471754111438e-39
esn_cusum_max,esn_cusum[u],1.4925,4.999750012499375e-05,0.00033734687728003657,147,28,1.097326179386674e-20
esn_cusum_max,tcn,1.4575,4.999750012499375e-05,6.136722416039571e-17,132,12,1.0205641903217274e-26
esn_cusum_max,esn_single,1.0,4.999750012499375e-05,5.900741301836679e-06,139,5,4.4723634529742794e-35
esn_cusum_max,esn_full,0.835,4.999750012499375e-05,0.0003812955876755449,131,7,9.815829609038498e-31
esn_cusum_max,delta_mahalanobis,0.7275,0.000199990000499975,0.0009993636924440915,130,4,1.2160747117000768e-33
esn_cusum_max,lstm,-0.55,0.000999950002499875,1.5071432807557861e-07,60,17,8.909847968334875e-07
esn_cusum_max,gru,-0.5825,0.0006499675016249188,6.459663473446502e-08,61,14,3.807704084089984e-08
esn_cusum_max,esn_cusum,-1.1075,4.999750012499375e-05,1.221669915189103e-14,54,24,0.0009010035205219422
esn_cusum_max,esn_cusum[e],-1.495,4.999750012499375e-05,1.4897015676091177e-09,69,25,6.339264707376482e-06
esn_cusum_max,"esn_cusum[e,u]",-1.7775,4.999750012499375e-05,2.920998571575791e-13,52,28,0.009682849923057572
esn_cusum_max,linear_ar,-1.78,4.999750012499375e-05,2.406141437443251e-20,61,23,4.0771265506603356e-05
esn_cusum_max,esn[e],-1.935,4.999750012499375e-05,9.826807495583401e-13,72,25,1.9187392502875328e-06
esn_cusum_max,"esn[e,u]",-1.995,4.999750012499375e-05,2.6191821802642217e-14,62,26,0.00015714867103001836
