dataset,hybrid,vs,dauc_ci_lo,dauc_ci_hi,mcnemar_n10,mcnemar_n01,mcnemar_p,perm_mean_dlead,perm_p,wilcoxon_p,mcnemar_p_holm,mcnemar_reject_holm,family_size
sim,hybrid_weighted50,esn_cusum_max,-0.0188,0.0042,1,45,1.3358203432289883e-12,-1.325,4.999750012499375e-05,1.0350666401563723e-21,0.0,True,8
sim,hybrid_weighted50,delta_mahalanobis,0.0701,0.1244,121,4,4.709971235072482e-31,1.305,4.999750012499375e-05,3.233418635048576e-21,0.0,True,8
sim,hybrid_max,esn_cusum_max,-0.0142,0.0115,3,17,0.0025768280029296875,-0.647,4.999750012499375e-05,6.71278442658171e-16,0.00258,True,8
sim,hybrid_max,delta_mahalanobis,0.0756,0.1313,149,2,8.041351237527963e-42,1.982,4.999750012499375e-05,5.6942836385649036e-33,0.0,True,8
sim,hybrid_gated,esn_cusum_max,-0.0454,-0.0068,4,75,5.2434681244715905e-18,-1.815,4.999750012499375e-05,4.460291412315649e-21,0.0,True,8
sim,hybrid_gated,delta_mahalanobis,0.0574,0.1,90,0,1.6155871338926322e-27,0.815,4.999750012499375e-05,4.807763486110365e-17,0.0,True,8
sim,hybrid_logistic,esn_cusum_max,-0.0093,0.0084,2,24,1.049041748046875e-05,-0.805,4.999750012499375e-05,1.4310249500597004e-17,2e-05,True,8
sim,hybrid_logistic,delta_mahalanobis,0.0743,0.1335,141,2,1.846933796755538e-39,1.825,4.999750012499375e-05,1.0182070351399773e-24,0.0,True,8
gemini,hybrid_weighted50,esn_cusum_max,-0.0122,0.0132,0,0,1.0,0.038,0.2520873956302185,0.0832645166635504,1.0,False,8
gemini,hybrid_weighted50,delta_mahalanobis,-0.1128,0.0821,13,3,0.021270751953125,0.532,0.000199990000499975,0.00018666928606053538,0.17017,False,8
gemini,hybrid_max,esn_cusum_max,-0.0152,0.0044,0,0,1.0,0.038,0.2520873956302185,0.0832645166635504,1.0,False,8
gemini,hybrid_max,delta_mahalanobis,-0.1223,0.084,13,3,0.021270751953125,0.532,0.000199990000499975,0.00018666928606053538,0.17017,False,8
gemini,hybrid_gated,esn_cusum_max,-0.0073,0.0295,0,0,1.0,0.127,0.0013499325033748313,0.001565402258002548,1.0,False,8
gemini,hybrid_gated,delta_mahalanobis,-0.0997,0.0917,13,3,0.021270751953125,0.62,9.99950002499875e-05,6.53796633924616e-05,0.17017,False,8
gemini,hybrid_logistic,esn_cusum_max,-0.0169,0.0088,0,1,1.0,0.0,1.0,1.0,1.0,False,8
gemini,hybrid_logistic,delta_mahalanobis,-0.1143,0.0863,12,3,0.03515625,0.494,0.0006999650017499125,0.0011973931858514717,0.17578,False,8
autogen7b,hybrid_weighted50,esn_cusum_max,-0.0587,0.0408,1,1,1.0,0.068,0.02944852757362132,0.014305878435429619,1.0,False,8
autogen7b,hybrid_weighted50,delta_mahalanobis,-0.0388,0.065,2,2,1.0,0.045,0.5028248587570622,0.554790689718281,1.0,False,8
autogen7b,hybrid_max,esn_cusum_max,-0.0858,0.0754,3,2,1.0,0.068,0.06804659767011649,0.03389485352468927,1.0,False,8
autogen7b,hybrid_max,delta_mahalanobis,0.0,0.0451,1,0,1.0,0.045,0.5028248587570622,0.15730598426022424,1.0,False,8
autogen7b,hybrid_gated,esn_cusum_max,-0.0869,0.0474,1,2,1.0,0.045,0.3568321583920804,0.06246942161719582,1.0,False,8
autogen7b,hybrid_gated,delta_mahalanobis,-0.0291,0.0422,1,2,1.0,0.023,0.7504624768761562,0.5592423856231333,1.0,False,8
autogen7b,hybrid_logistic,esn_cusum_max,-0.105,0.0603,3,3,1.0,0.011,1.0,0.17265810752392907,1.0,False,8
autogen7b,hybrid_logistic,delta_mahalanobis,-0.0041,0.0127,0,0,1.0,-0.011,1.0,0.31731050786291415,1.0,False,8
ollama7b,hybrid_weighted50,esn_cusum_max,-0.0038,0.0041,0,0,1.0,0.165,0.000199990000499975,0.0001828106329818348,1.0,False,8
ollama7b,hybrid_weighted50,delta_mahalanobis,0.0317,0.1729,38,0,7.275957614183426e-12,0.918,4.999750012499375e-05,6.988690955595267e-10,0.0,True,8
