dataset,dim,auroc,detection_rate,healthy_fa_rate,det[context_corruption],det[wrong_document],det[malformed_json]
gemini,query_dis,0.5,0.0,0.0,0.0,,
gemini,reason_dis,0.5,0.0,0.0,0.0,,
gemini,self_dis,0.5,0.0,0.0,0.0,,
gemini,json_broken,0.5,0.0,0.0,0.0,,
gemini,char_anom,0.5,0.0,0.0,0.0,,
gemini,consec_dis,0.5,0.0,0.0,0.0,,
gemini,drift,0.5,0.0,0.0,0.0,,
gemini,mem_dis,0.5,0.0,0.0,0.0,,
gemini,lex_miss,0.5,0.0,0.0,0.0,,
autogen7b,query_dis,0.25426136363636365,0.03409090909090909,0.16666666666666666,0.09090909090909091,,
autogen7b,reason_dis,0.5,0.0,0.0,0.0,,
autogen7b,self_dis,0.39109848484848486,0.06818181818181818,0.0,0.09090909090909091,,
autogen7b,json_broken,0.5,0.0,0.0,0.0,,
autogen7b,char_anom,0.4318181818181818,0.18181818181818182,0.08333333333333333,0.0,,
autogen7b,consec_dis,0.3972537878787879,0.23863636363636365,0.3333333333333333,0.24242424242424243,,
autogen7b,drift,0.4318181818181818,0.011363636363636364,0.0,0.030303030303030304,,
autogen7b,mem_dis,0.5,0.0,0.0,0.0,,
autogen7b,lex_miss,0.6988636363636364,0.3977272727272727,0.0,0.0,,
ollama7b,query_dis,0.4407563025210084,0.023529411764705882,0.07142857142857142,0.09090909090909091,,
ollama7b,reason_dis,0.5058823529411764,0.011764705882352941,0.0,0.0,,
ollama7b,self_dis,0.6684873949579831,0.0,0.0,0.0,,
ollama7b,json_broken,0.5,0.0,0.0,0.0,,
ollama7b,char_anom,0.49663865546218483,0.09411764705882353,0.0,0.0,,
ollama7b,consec_dis,0.6978991596638656,0.0,0.0,0.0,,
ollama7b,drift,0.5432773109243698,0.15294117647058825,0.07142857142857142,0.045454545454545456,,
ollama7b,mem_dis,0.5058823529411764,0.011764705882352941,0.0,0.0,,
ollama7b,lex_miss,0.5,0.0,0.0,0.0,,
langgraph7b,query_dis,0.5353218210361067,0.01098901098901099,0.0,0.029411764705882353,,
langgraph7b,reason_dis,0.6153846153846154,0.18681318681318682,0.0,0.11764705882352941,,
langgraph7b,self_dis,0.5782312925170068,0.0,0.0,0.0,,
langgraph7b,json_broken,0.5,0.0,0.0,0.0,,
langgraph7b,char_anom,0.40659340659340665,0.03296703296703297,0.0,0.0,,
langgraph7b,consec_dis,0.6250654107796965,0.0,0.0,0.0,,
langgraph7b,drift,0.5091575091575091,0.10989010989010989,0.09523809523809523,0.17647058823529413,,
langgraph7b,mem_dis,0.6153846153846154,0.18681318681318682,0.0,0.11764705882352941,,
langgraph7b,lex_miss,0.6813186813186813,0.3626373626373626,0.0,0.0,,
real_research7b,query_dis,0.7504873294346978,0.28654970760233917,0.08333333333333333,0.045454545454545456,0.36363636363636365,0.4090909090909091
real_research7b,reason_dis,0.4962231968810917,0.03508771929824561,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,self_dis,0.5910087719298246,0.06432748538011696,0.041666666666666664,0.045454545454545456,0.0,0.0
real_research7b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b,char_anom,0.47904483430799216,0.25146198830409355,0.08333333333333333,0.7727272727272727,0.0,1.0
real_research7b,consec_dis,0.606603313840156,0.08771929824561403,0.08333333333333333,0.045454545454545456,0.0,0.0
real_research7b,drift,0.6020955165692007,0.011695906432748537,0.0,0.045454545454545456,0.0,0.0
real_research7b,mem_dis,0.49597953216374274,0.03508771929824561,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,lex_miss,0.6988304093567251,0.3684210526315789,0.0,0.22727272727272727,1.0,0.0
real_research7b_long,query_dis,0.5634920634920635,0.023809523809523808,0.0,0.0,0.0,0.16666666666666666
real_research7b_long,reason_dis,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b_long,self_dis,0.29365079365079366,0.07142857142857142,0.0,0.0,0.0,0.0
real_research7b_long,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b_long,char_anom,0.6071428571428571,0.40476190476190477,0.0,0.8333333333333334,0.0,1.0
real_research7b_long,consec_dis,0.4345238095238096,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0
real_research7b_long,drift,0.3055555555555556,0.047619047619047616,0.0,0.0,0.0,0.0
real_research7b_long,mem_dis,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b_long,lex_miss,0.6071428571428572,0.0,0.0,0.0,0.0,0.0
real_research3b,query_dis,0.5341614906832298,0.21739130434782608,0.14285714285714285,0.16666666666666666,0.2,0.3333333333333333
real_research3b,reason_dis,0.5978260869565217,0.1956521739130435,0.0,0.0,0.0,0.8333333333333334
real_research3b,self_dis,0.3586956521739131,0.0,0.0,0.0,0.0,0.0
real_research3b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research3b,char_anom,0.40217391304347827,0.2608695652173913,0.2857142857142857,0.3333333333333333,0.0,1.0
real_research3b,consec_dis,0.41925465838509324,0.043478260869565216,0.0,0.0,0.2,0.0
real_research3b,drift,0.24844720496894412,0.021739130434782608,0.14285714285714285,0.0,0.0,0.0
real_research3b,mem_dis,0.5978260869565217,0.1956521739130435,0.0,0.0,0.0,0.8333333333333334
real_research3b,lex_miss,0.7065217391304348,0.0,0.0,0.0,0.0,0.0
ollama_llama8b,query_dis,0.49811422413793105,0.02586206896551724,0.125,0.0,,
ollama_llama8b,reason_dis,0.5,0.0,0.0,0.0,,
ollama_llama8b,self_dis,0.47036637931034486,0.008620689655172414,0.125,0.0,,
ollama_llama8b,json_broken,0.5,0.0,0.0,0.0,,
ollama_llama8b,char_anom,0.6384698275862069,0.3879310344827586,0.0,0.0,,
ollama_llama8b,consec_dis,0.5,0.04310344827586207,0.125,0.0,,
ollama_llama8b,drift,0.517510775862069,0.16379310344827586,0.0625,0.0625,,
ollama_llama8b,mem_dis,0.5,0.0,0.0,0.0,,
ollama_llama8b,lex_miss,0.5,0.0,0.0,0.0,,
real_gemini_long,query_dis,0.4262820512820513,0.12307692307692308,0.08333333333333333,0.2,0.2,0.0
real_gemini_long,reason_dis,0.3782051282051282,0.046153846153846156,0.08333333333333333,0.0,0.0,0.0
real_gemini_long,self_dis,0.34230769230769237,0.03076923076923077,0.0,0.1,0.0,0.0
real_gemini_long,json_broken,0.5846153846153846,0.16923076923076924,0.0,0.0,0.0,1.0
real_gemini_long,char_anom,0.5384615384615385,0.4,0.16666666666666666,0.8,0.0,1.0
real_gemini_long,consec_dis,0.3230769230769231,0.06153846153846154,0.0,0.3,0.0,0.0
real_gemini_long,drift,0.30641025641025643,0.06153846153846154,0.0,0.0,0.4,0.0
real_gemini_long,mem_dis,0.39743589743589736,0.1076923076923077,0.16666666666666666,0.0,0.0,0.0
real_gemini_long,lex_miss,0.5769230769230769,0.15384615384615385,0.0,0.0,1.0,0.0
real_research7b_long_ext,query_dis,0.6446886446886447,0.4725274725274725,0.3333333333333333,0.6923076923076923,0.6153846153846154,0.07692307692307693
real_research7b_long_ext,reason_dis,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b_long_ext,self_dis,0.598901098901099,0.12087912087912088,0.0,0.07692307692307693,0.38461538461538464,0.07692307692307693
real_research7b_long_ext,json_broken,0.5714285714285714,0.14285714285714285,0.0,0.0,0.0,1.0
real_research7b_long_ext,char_anom,0.5137362637362637,0.4175824175824176,0.16666666666666666,1.0,0.0,1.0
real_research7b_long_ext,consec_dis,0.6730769230769231,0.21978021978021978,0.0,0.38461538461538464,0.23076923076923078,0.3076923076923077
real_research7b_long_ext,drift,0.5439560439560439,0.24175824175824176,0.0,0.15384615384615385,0.7692307692307693,0.15384615384615385
real_research7b_long_ext,mem_dis,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b_long_ext,lex_miss,0.5714285714285714,0.14285714285714285,0.0,0.0,1.0,0.0
