dataset,monitor,failure_class,detection_rate,median_delay
langgraph7b,esn_cusum_max,looping,0.48484848484848486,3.0
langgraph7b,esn_cusum_max,tool_cascade,1.0,1.0
langgraph7b,esn_cusum_max,context_corruption,0.17647058823529413,2.0
langgraph7b,delta_mahalanobis,looping,1.0,0.0
langgraph7b,delta_mahalanobis,tool_cascade,1.0,0.0
langgraph7b,delta_mahalanobis,context_corruption,0.29411764705882354,2.0
langgraph7b,hybrid_weighted50,looping,0.6666666666666666,2.0
langgraph7b,hybrid_weighted50,tool_cascade,1.0,1.0
langgraph7b,hybrid_weighted50,context_corruption,0.14705882352941177,2.0
langgraph7b,grounding,looping,0.30303030303030304,1.0
langgraph7b,grounding,tool_cascade,0.20833333333333334,1.0
langgraph7b,grounding,context_corruption,0.11764705882352941,0.5
langgraph7b,hybrid_weighted_g,looping,0.5757575757575758,2.0
langgraph7b,hybrid_weighted_g,tool_cascade,1.0,1.0
langgraph7b,hybrid_weighted_g,context_corruption,0.11764705882352941,1.0
langgraph7b,hybrid_content_gate,looping,1.0,0.0
langgraph7b,hybrid_content_gate,tool_cascade,1.0,1.0
langgraph7b,hybrid_content_gate,context_corruption,0.14705882352941177,2.0
langgraph7b,hybrid_adaptive,looping,0.9090909090909091,0.0
langgraph7b,hybrid_adaptive,tool_cascade,1.0,1.0
langgraph7b,hybrid_adaptive,context_corruption,0.11764705882352941,1.0
langgraph7b,hybrid_logistic,looping,1.0,1.0
langgraph7b,hybrid_logistic,tool_cascade,1.0,0.0
langgraph7b,hybrid_logistic,context_corruption,0.23529411764705882,2.0
langgraph7b,hybrid_logistic_g,looping,0.9696969696969697,1.0
langgraph7b,hybrid_logistic_g,tool_cascade,1.0,1.0
langgraph7b,hybrid_logistic_g,context_corruption,0.14705882352941177,2.0
langgraph7b,joint_budget,looping,0.5757575757575758,2.0
langgraph7b,joint_budget,tool_cascade,1.0,1.0
langgraph7b,joint_budget,context_corruption,0.11764705882352941,1.0
real_research7b,esn_cusum_max,goal_drift,0.045454545454545456,5.0
real_research7b,esn_cusum_max,looping,1.0,2.0
real_research7b,esn_cusum_max,tool_cascade,0.5454545454545454,3.0
real_research7b,esn_cusum_max,context_corruption,0.045454545454545456,3.0
real_research7b,esn_cusum_max,malformed_json,0.045454545454545456,5.0
real_research7b,esn_cusum_max,rate_limit,0.7368421052631579,3.0
real_research7b,esn_cusum_max,timeout,0.5,2.0
real_research7b,esn_cusum_max,wrong_document,0.13636363636363635,5.0
real_research7b,delta_mahalanobis,goal_drift,0.2727272727272727,2.0
real_research7b,delta_mahalanobis,looping,1.0,0.0
real_research7b,delta_mahalanobis,tool_cascade,0.6363636363636364,2.0
real_research7b,delta_mahalanobis,context_corruption,0.0,
real_research7b,delta_mahalanobis,malformed_json,0.0,
real_research7b,delta_mahalanobis,rate_limit,0.9473684210526315,1.0
real_research7b,delta_mahalanobis,timeout,0.5,1.0
real_research7b,delta_mahalanobis,wrong_document,0.045454545454545456,4.0
real_research7b,hybrid_weighted50,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_weighted50,looping,1.0,2.0
real_research7b,hybrid_weighted50,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_weighted50,context_corruption,0.045454545454545456,3.0
real_research7b,hybrid_weighted50,malformed_json,0.045454545454545456,5.0
real_research7b,hybrid_weighted50,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_weighted50,timeout,0.45,2.0
real_research7b,hybrid_weighted50,wrong_document,0.13636363636363635,5.0
real_research7b,grounding,goal_drift,0.6818181818181818,2.0
real_research7b,grounding,looping,0.9545454545454546,0.0
real_research7b,grounding,tool_cascade,0.0,
real_research7b,grounding,context_corruption,0.7727272727272727,2.0
real_research7b,grounding,malformed_json,0.8181818181818182,2.0
real_research7b,grounding,rate_limit,0.0,
real_research7b,grounding,timeout,0.0,
real_research7b,grounding,wrong_document,1.0,0.0
real_research7b,hybrid_weighted_g,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_weighted_g,looping,1.0,2.0
real_research7b,hybrid_weighted_g,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_weighted_g,context_corruption,0.045454545454545456,3.0
real_research7b,hybrid_weighted_g,malformed_json,0.5,2.0
real_research7b,hybrid_weighted_g,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_weighted_g,timeout,0.45,2.0
real_research7b,hybrid_weighted_g,wrong_document,0.13636363636363635,5.0
real_research7b,hybrid_content_gate,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_content_gate,looping,1.0,2.0
real_research7b,hybrid_content_gate,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_content_gate,context_corruption,0.36363636363636365,2.0
real_research7b,hybrid_content_gate,malformed_json,0.8181818181818182,2.0
real_research7b,hybrid_content_gate,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_content_gate,timeout,0.45,2.0
real_research7b,hybrid_content_gate,wrong_document,0.13636363636363635,5.0
real_research7b,hybrid_adaptive,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_adaptive,looping,1.0,2.0
real_research7b,hybrid_adaptive,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_adaptive,context_corruption,0.045454545454545456,3.0
real_research7b,hybrid_adaptive,malformed_json,0.5,2.0
real_research7b,hybrid_adaptive,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_adaptive,timeout,0.45,2.0
real_research7b,hybrid_adaptive,wrong_document,0.13636363636363635,5.0
real_research7b,hybrid_logistic,goal_drift,0.2727272727272727,2.0
real_research7b,hybrid_logistic,looping,1.0,0.0
real_research7b,hybrid_logistic,tool_cascade,0.5454545454545454,2.0
real_research7b,hybrid_logistic,context_corruption,0.0,
real_research7b,hybrid_logistic,malformed_json,0.0,
real_research7b,hybrid_logistic,rate_limit,0.9473684210526315,1.5
real_research7b,hybrid_logistic,timeout,0.45,1.0
real_research7b,hybrid_logistic,wrong_document,0.045454545454545456,4.0
real_research7b,hybrid_logistic_g,goal_drift,0.2727272727272727,2.0
real_research7b,hybrid_logistic_g,looping,1.0,0.0
real_research7b,hybrid_logistic_g,tool_cascade,0.22727272727272727,2.0
real_research7b,hybrid_logistic_g,context_corruption,0.0,
real_research7b,hybrid_logistic_g,malformed_json,0.45454545454545453,2.0
real_research7b,hybrid_logistic_g,rate_limit,0.631578947368421,2.0
real_research7b,hybrid_logistic_g,timeout,0.25,2.0
real_research7b,hybrid_logistic_g,wrong_document,0.045454545454545456,3.0
real_research7b,joint_budget,goal_drift,0.045454545454545456,5.0
real_research7b,joint_budget,looping,1.0,2.0
real_research7b,joint_budget,tool_cascade,0.5454545454545454,3.0
real_research7b,joint_budget,context_corruption,0.045454545454545456,3.0
real_research7b,joint_budget,malformed_json,0.5,2.0
real_research7b,joint_budget,rate_limit,0.7368421052631579,3.0
real_research7b,joint_budget,timeout,0.45,2.0
real_research7b,joint_budget,wrong_document,0.13636363636363635,5.0
real_research3b,esn_cusum_max,goal_drift,0.8,5.5
real_research3b,esn_cusum_max,looping,0.6666666666666666,4.5
real_research3b,esn_cusum_max,tool_cascade,0.16666666666666666,3.0
real_research3b,esn_cusum_max,context_corruption,0.16666666666666666,6.0
real_research3b,esn_cusum_max,malformed_json,0.5,5.0
real_research3b,esn_cusum_max,rate_limit,0.16666666666666666,4.0
real_research3b,esn_cusum_max,timeout,0.16666666666666666,5.0
real_research3b,esn_cusum_max,wrong_document,0.2,5.0
real_research3b,delta_mahalanobis,goal_drift,0.0,
real_research3b,delta_mahalanobis,looping,0.16666666666666666,3.0
real_research3b,delta_mahalanobis,tool_cascade,0.16666666666666666,3.0
real_research3b,delta_mahalanobis,context_corruption,0.16666666666666666,3.0
real_research3b,delta_mahalanobis,malformed_json,0.16666666666666666,4.0
real_research3b,delta_mahalanobis,rate_limit,0.0,
real_research3b,delta_mahalanobis,timeout,0.16666666666666666,4.0
real_research3b,delta_mahalanobis,wrong_document,0.2,5.0
real_research3b,hybrid_weighted50,goal_drift,0.8,5.5
real_research3b,hybrid_weighted50,looping,0.5,5.0
real_research3b,hybrid_weighted50,tool_cascade,0.16666666666666666,3.0
real_research3b,hybrid_weighted50,context_corruption,0.16666666666666666,6.0
real_research3b,hybrid_weighted50,malformed_json,0.5,5.0
real_research3b,hybrid_weighted50,rate_limit,0.0,
real_research3b,hybrid_weighted50,timeout,0.16666666666666666,6.0
real_research3b,hybrid_weighted50,wrong_document,0.2,5.0
real_research3b,grounding,goal_drift,0.4,4.5
real_research3b,grounding,looping,0.16666666666666666,4.0
