dataset,monitor,failure_class,detection_rate,median_delay
gemini,esn_cusum_max,goal_drift,0.7272727272727273,1.0
gemini,esn_cusum_max,looping,1.0,1.0
gemini,esn_cusum_max,tool_cascade,0.8333333333333334,1.0
gemini,esn_cusum_max,context_corruption,0.3333333333333333,1.0
gemini,delta_mahalanobis,goal_drift,0.4090909090909091,4.0
gemini,delta_mahalanobis,looping,1.0,3.0
gemini,delta_mahalanobis,tool_cascade,0.8888888888888888,2.0
gemini,delta_mahalanobis,context_corruption,0.14285714285714285,0.0
gemini,hybrid_weighted50,goal_drift,0.7272727272727273,1.0
gemini,hybrid_weighted50,looping,1.0,1.0
gemini,hybrid_weighted50,tool_cascade,0.8333333333333334,1.0
gemini,hybrid_weighted50,context_corruption,0.3333333333333333,1.0
gemini,grounding,goal_drift,0.0,
gemini,grounding,looping,0.0,
gemini,grounding,tool_cascade,0.0,
gemini,grounding,context_corruption,0.0,
gemini,hybrid_weighted_g,goal_drift,0.7272727272727273,1.0
gemini,hybrid_weighted_g,looping,1.0,1.0
gemini,hybrid_weighted_g,tool_cascade,0.8333333333333334,1.0
gemini,hybrid_weighted_g,context_corruption,0.3333333333333333,1.0
gemini,hybrid_content_gate,goal_drift,0.7272727272727273,1.0
gemini,hybrid_content_gate,looping,1.0,1.0
gemini,hybrid_content_gate,tool_cascade,0.8333333333333334,1.0
gemini,hybrid_content_gate,context_corruption,0.3333333333333333,1.0
gemini,hybrid_adaptive,goal_drift,0.7272727272727273,1.0
gemini,hybrid_adaptive,looping,1.0,1.0
gemini,hybrid_adaptive,tool_cascade,0.8333333333333334,1.0
gemini,hybrid_adaptive,context_corruption,0.3333333333333333,1.0
gemini,hybrid_logistic,goal_drift,0.7272727272727273,1.0
gemini,hybrid_logistic,looping,1.0,1.0
gemini,hybrid_logistic,tool_cascade,0.8333333333333334,1.0
gemini,hybrid_logistic,context_corruption,0.2857142857142857,2.0
gemini,hybrid_logistic_g,goal_drift,0.7272727272727273,1.0
gemini,hybrid_logistic_g,looping,1.0,1.0
gemini,hybrid_logistic_g,tool_cascade,0.8333333333333334,1.0
gemini,hybrid_logistic_g,context_corruption,0.23809523809523808,2.0
gemini,joint_budget,goal_drift,0.7272727272727273,1.0
gemini,joint_budget,looping,1.0,1.0
gemini,joint_budget,tool_cascade,0.8333333333333334,1.0
gemini,joint_budget,context_corruption,0.3333333333333333,1.0
autogen7b,esn_cusum_max,looping,0.6,2.0
autogen7b,esn_cusum_max,tool_cascade,1.0,1.0
autogen7b,esn_cusum_max,context_corruption,0.12121212121212122,2.5
autogen7b,delta_mahalanobis,looping,0.6285714285714286,1.0
autogen7b,delta_mahalanobis,tool_cascade,0.5,1.0
autogen7b,delta_mahalanobis,context_corruption,0.06060606060606061,3.0
autogen7b,hybrid_weighted50,looping,0.6,2.0
autogen7b,hybrid_weighted50,tool_cascade,1.0,1.0
autogen7b,hybrid_weighted50,context_corruption,0.12121212121212122,3.0
autogen7b,grounding,looping,0.42857142857142855,0.0
autogen7b,grounding,tool_cascade,0.05,0.0
autogen7b,grounding,context_corruption,0.0,
autogen7b,hybrid_weighted_g,looping,0.6,2.0
autogen7b,hybrid_weighted_g,tool_cascade,1.0,1.0
autogen7b,hybrid_weighted_g,context_corruption,0.12121212121212122,3.0
autogen7b,hybrid_content_gate,looping,1.0,0.0
autogen7b,hybrid_content_gate,tool_cascade,1.0,1.0
autogen7b,hybrid_content_gate,context_corruption,0.12121212121212122,3.0
autogen7b,hybrid_adaptive,looping,1.0,0.0
autogen7b,hybrid_adaptive,tool_cascade,1.0,1.0
autogen7b,hybrid_adaptive,context_corruption,0.12121212121212122,3.0
autogen7b,hybrid_logistic,looping,0.5714285714285714,1.5
autogen7b,hybrid_logistic,tool_cascade,0.4,1.0
autogen7b,hybrid_logistic,context_corruption,0.06060606060606061,3.0
autogen7b,hybrid_logistic_g,looping,0.5142857142857142,1.5
autogen7b,hybrid_logistic_g,tool_cascade,0.4,1.0
autogen7b,hybrid_logistic_g,context_corruption,0.06060606060606061,3.0
autogen7b,joint_budget,looping,0.6,2.0
autogen7b,joint_budget,tool_cascade,1.0,1.0
autogen7b,joint_budget,context_corruption,0.12121212121212122,3.0
ollama7b,esn_cusum_max,goal_drift,0.8571428571428571,0.5
ollama7b,esn_cusum_max,looping,1.0,1.0
ollama7b,esn_cusum_max,tool_cascade,1.0,1.0
ollama7b,esn_cusum_max,context_corruption,1.0,0.0
ollama7b,delta_mahalanobis,goal_drift,0.047619047619047616,2.0
ollama7b,delta_mahalanobis,looping,0.625,3.0
ollama7b,delta_mahalanobis,tool_cascade,0.4444444444444444,1.5
ollama7b,delta_mahalanobis,context_corruption,0.045454545454545456,2.0
ollama7b,hybrid_weighted50,goal_drift,0.8571428571428571,0.5
ollama7b,hybrid_weighted50,looping,1.0,1.0
ollama7b,hybrid_weighted50,tool_cascade,1.0,1.0
ollama7b,hybrid_weighted50,context_corruption,1.0,0.0
ollama7b,grounding,goal_drift,0.0,
ollama7b,grounding,looping,0.2916666666666667,0.0
ollama7b,grounding,tool_cascade,0.05555555555555555,0.0
ollama7b,grounding,context_corruption,0.0,
ollama7b,hybrid_weighted_g,goal_drift,0.8571428571428571,0.5
ollama7b,hybrid_weighted_g,looping,1.0,1.0
ollama7b,hybrid_weighted_g,tool_cascade,1.0,1.0
ollama7b,hybrid_weighted_g,context_corruption,1.0,0.0
ollama7b,hybrid_content_gate,goal_drift,0.8571428571428571,0.5
ollama7b,hybrid_content_gate,looping,1.0,1.0
ollama7b,hybrid_content_gate,tool_cascade,1.0,1.0
ollama7b,hybrid_content_gate,context_corruption,1.0,0.0
ollama7b,hybrid_adaptive,goal_drift,0.8571428571428571,0.5
ollama7b,hybrid_adaptive,looping,1.0,1.0
ollama7b,hybrid_adaptive,tool_cascade,1.0,1.0
ollama7b,hybrid_adaptive,context_corruption,1.0,0.0
ollama7b,hybrid_logistic,goal_drift,0.0,
ollama7b,hybrid_logistic,looping,0.5833333333333334,3.0
ollama7b,hybrid_logistic,tool_cascade,0.2777777777777778,1.0
ollama7b,hybrid_logistic,context_corruption,0.045454545454545456,2.0
ollama7b,hybrid_logistic_g,goal_drift,0.09523809523809523,2.0
ollama7b,hybrid_logistic_g,looping,1.0,2.0
ollama7b,hybrid_logistic_g,tool_cascade,0.6666666666666666,2.0
ollama7b,hybrid_logistic_g,context_corruption,0.045454545454545456,2.0
ollama7b,joint_budget,goal_drift,0.8571428571428571,0.5
ollama7b,joint_budget,looping,1.0,1.0
ollama7b,joint_budget,tool_cascade,1.0,1.0
ollama7b,joint_budget,context_corruption,1.0,0.0
langgraph7b,esn_cusum_max,looping,0.48484848484848486,3.0
langgraph7b,esn_cusum_max,tool_cascade,1.0,1.0
langgraph7b,esn_cusum_max,context_corruption,0.17647058823529413,2.0
langgraph7b,delta_mahalanobis,looping,1.0,0.0
langgraph7b,delta_mahalanobis,tool_cascade,1.0,0.0
langgraph7b,delta_mahalanobis,context_corruption,0.29411764705882354,2.0
langgraph7b,hybrid_weighted50,looping,0.6666666666666666,2.0
langgraph7b,hybrid_weighted50,tool_cascade,1.0,1.0
langgraph7b,hybrid_weighted50,context_corruption,0.14705882352941177,2.0
langgraph7b,grounding,looping,0.30303030303030304,1.0
langgraph7b,grounding,tool_cascade,0.20833333333333334,1.0
langgraph7b,grounding,context_corruption,0.11764705882352941,0.5
langgraph7b,hybrid_weighted_g,looping,0.5757575757575758,2.0
langgraph7b,hybrid_weighted_g,tool_cascade,1.0,1.0
langgraph7b,hybrid_weighted_g,context_corruption,0.11764705882352941,1.0
langgraph7b,hybrid_content_gate,looping,1.0,0.0
langgraph7b,hybrid_content_gate,tool_cascade,1.0,1.0
langgraph7b,hybrid_content_gate,context_corruption,0.14705882352941177,2.0
langgraph7b,hybrid_adaptive,looping,0.9090909090909091,0.0
langgraph7b,hybrid_adaptive,tool_cascade,1.0,1.0
langgraph7b,hybrid_adaptive,context_corruption,0.11764705882352941,1.0
langgraph7b,hybrid_logistic,looping,1.0,1.0
langgraph7b,hybrid_logistic,tool_cascade,1.0,0.0
langgraph7b,hybrid_logistic,context_corruption,0.23529411764705882,2.0
langgraph7b,hybrid_logistic_g,looping,0.9696969696969697,1.0
langgraph7b,hybrid_logistic_g,tool_cascade,1.0,1.0
langgraph7b,hybrid_logistic_g,context_corruption,0.14705882352941177,2.0
langgraph7b,joint_budget,looping,0.5757575757575758,2.0
langgraph7b,joint_budget,tool_cascade,1.0,1.0
langgraph7b,joint_budget,context_corruption,0.11764705882352941,1.0
real_research7b,esn_cusum_max,goal_drift,0.045454545454545456,5.0
real_research7b,esn_cusum_max,looping,1.0,2.0
real_research7b,esn_cusum_max,tool_cascade,0.5454545454545454,3.0
real_research7b,esn_cusum_max,context_corruption,0.045454545454545456,3.0
real_research7b,esn_cusum_max,malformed_json,0.045454545454545456,5.0
real_research7b,esn_cusum_max,rate_limit,0.7368421052631579,3.0
real_research7b,esn_cusum_max,timeout,0.5,2.0
real_research7b,esn_cusum_max,wrong_document,0.13636363636363635,5.0
real_research7b,delta_mahalanobis,goal_drift,0.2727272727272727,2.0
real_research7b,delta_mahalanobis,looping,1.0,0.0
real_research7b,delta_mahalanobis,tool_cascade,0.6363636363636364,2.0
real_research7b,delta_mahalanobis,context_corruption,0.0,
real_research7b,delta_mahalanobis,malformed_json,0.0,
real_research7b,delta_mahalanobis,rate_limit,0.9473684210526315,1.0
real_research7b,delta_mahalanobis,timeout,0.5,1.0
real_research7b,delta_mahalanobis,wrong_document,0.045454545454545456,4.0
real_research7b,hybrid_weighted50,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_weighted50,looping,1.0,2.0
real_research7b,hybrid_weighted50,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_weighted50,context_corruption,0.045454545454545456,3.0
real_research7b,hybrid_weighted50,malformed_json,0.045454545454545456,5.0
real_research7b,hybrid_weighted50,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_weighted50,timeout,0.45,2.0
real_research7b,hybrid_weighted50,wrong_document,0.13636363636363635,5.0
real_research7b,grounding,goal_drift,0.6818181818181818,2.0
real_research7b,grounding,looping,0.9545454545454546,0.0
real_research7b,grounding,tool_cascade,0.0,
real_research7b,grounding,context_corruption,0.7727272727272727,2.0
real_research7b,grounding,malformed_json,0.8181818181818182,2.0
real_research7b,grounding,rate_limit,0.0,
real_research7b,grounding,timeout,0.0,
real_research7b,grounding,wrong_document,1.0,0.0
real_research7b,hybrid_weighted_g,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_weighted_g,looping,1.0,2.0
real_research7b,hybrid_weighted_g,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_weighted_g,context_corruption,0.045454545454545456,3.0
real_research7b,hybrid_weighted_g,malformed_json,0.5,2.0
real_research7b,hybrid_weighted_g,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_weighted_g,timeout,0.45,2.0
real_research7b,hybrid_weighted_g,wrong_document,0.13636363636363635,5.0
real_research7b,hybrid_content_gate,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_content_gate,looping,1.0,2.0
real_research7b,hybrid_content_gate,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_content_gate,context_corruption,0.36363636363636365,2.0
real_research7b,hybrid_content_gate,malformed_json,0.8181818181818182,2.0
real_research7b,hybrid_content_gate,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_content_gate,timeout,0.45,2.0
real_research7b,hybrid_content_gate,wrong_document,0.13636363636363635,5.0
real_research7b,hybrid_adaptive,goal_drift,0.045454545454545456,5.0
real_research7b,hybrid_adaptive,looping,1.0,2.0
real_research7b,hybrid_adaptive,tool_cascade,0.5454545454545454,3.0
real_research7b,hybrid_adaptive,context_corruption,0.045454545454545456,3.0
real_research7b,hybrid_adaptive,malformed_json,0.5,2.0
real_research7b,hybrid_adaptive,rate_limit,0.7368421052631579,3.0
real_research7b,hybrid_adaptive,timeout,0.45,2.0
real_research7b,hybrid_adaptive,wrong_document,0.13636363636363635,5.0
real_research7b,hybrid_logistic,goal_drift,0.2727272727272727,2.0
real_research7b,hybrid_logistic,looping,1.0,0.0
real_research7b,hybrid_logistic,tool_cascade,0.5454545454545454,2.0
real_research7b,hybrid_logistic,context_corruption,0.0,
real_research7b,hybrid_logistic,malformed_json,0.0,
real_research7b,hybrid_logistic,rate_limit,0.9473684210526315,1.5
real_research7b,hybrid_logistic,timeout,0.45,1.0
real_research7b,hybrid_logistic,wrong_document,0.045454545454545456,4.0
real_research7b,hybrid_logistic_g,goal_drift,0.2727272727272727,2.0
real_research7b,hybrid_logistic_g,looping,1.0,0.0
real_research7b,hybrid_logistic_g,tool_cascade,0.22727272727272727,2.0
real_research7b,hybrid_logistic_g,context_corruption,0.0,
real_research7b,hybrid_logistic_g,malformed_json,0.45454545454545453,2.0
real_research7b,hybrid_logistic_g,rate_limit,0.631578947368421,2.0
real_research7b,hybrid_logistic_g,timeout,0.25,2.0
real_research7b,hybrid_logistic_g,wrong_document,0.045454545454545456,3.0
real_research7b,joint_budget,goal_drift,0.045454545454545456,5.0
real_research7b,joint_budget,looping,1.0,2.0
real_research7b,joint_budget,tool_cascade,0.5454545454545454,3.0
real_research7b,joint_budget,context_corruption,0.045454545454545456,3.0
real_research7b,joint_budget,malformed_json,0.5,2.0
real_research7b,joint_budget,rate_limit,0.7368421052631579,3.0
real_research7b,joint_budget,timeout,0.45,2.0
real_research7b,joint_budget,wrong_document,0.13636363636363635,5.0
real_research7b_long,esn_cusum_max,looping,1.0,1.0
real_research7b_long,esn_cusum_max,tool_cascade,1.0,1.0
real_research7b_long,esn_cusum_max,context_corruption,0.0,
real_research7b_long,esn_cusum_max,malformed_json,0.0,
real_research7b_long,esn_cusum_max,rate_limit,1.0,1.0
real_research7b_long,esn_cusum_max,timeout,1.0,1.0
real_research7b_long,esn_cusum_max,wrong_document,0.0,
real_research7b_long,delta_mahalanobis,looping,1.0,0.0
real_research7b_long,delta_mahalanobis,tool_cascade,1.0,1.0
real_research7b_long,delta_mahalanobis,context_corruption,0.0,
real_research7b_long,delta_mahalanobis,malformed_json,0.5,7.0
real_research7b_long,delta_mahalanobis,rate_limit,1.0,0.5
real_research7b_long,delta_mahalanobis,timeout,1.0,1.0
real_research7b_long,delta_mahalanobis,wrong_document,0.3333333333333333,7.0
real_research7b_long,hybrid_weighted50,looping,1.0,1.0
real_research7b_long,hybrid_weighted50,tool_cascade,1.0,1.0
real_research7b_long,hybrid_weighted50,context_corruption,0.0,
real_research7b_long,hybrid_weighted50,malformed_json,0.0,
real_research7b_long,hybrid_weighted50,rate_limit,1.0,1.0
real_research7b_long,hybrid_weighted50,timeout,1.0,1.0
real_research7b_long,hybrid_weighted50,wrong_document,0.0,
real_research7b_long,grounding,looping,0.0,
real_research7b_long,grounding,tool_cascade,0.0,
real_research7b_long,grounding,context_corruption,0.0,
real_research7b_long,grounding,malformed_json,0.5,7.0
real_research7b_long,grounding,rate_limit,0.0,
real_research7b_long,grounding,timeout,0.0,
real_research7b_long,grounding,wrong_document,0.0,
real_research7b_long,hybrid_weighted_g,looping,1.0,1.0
real_research7b_long,hybrid_weighted_g,tool_cascade,1.0,1.0
real_research7b_long,hybrid_weighted_g,context_corruption,0.8333333333333334,2.0
real_research7b_long,hybrid_weighted_g,malformed_json,1.0,0.0
real_research7b_long,hybrid_weighted_g,rate_limit,1.0,1.0
real_research7b_long,hybrid_weighted_g,timeout,1.0,1.0
real_research7b_long,hybrid_weighted_g,wrong_document,0.0,
real_research7b_long,hybrid_content_gate,looping,1.0,1.0
real_research7b_long,hybrid_content_gate,tool_cascade,1.0,1.0
real_research7b_long,hybrid_content_gate,context_corruption,1.0,2.0
real_research7b_long,hybrid_content_gate,malformed_json,1.0,0.0
real_research7b_long,hybrid_content_gate,rate_limit,1.0,1.0
real_research7b_long,hybrid_content_gate,timeout,1.0,1.0
real_research7b_long,hybrid_content_gate,wrong_document,0.0,
real_research7b_long,hybrid_adaptive,looping,1.0,1.0
real_research7b_long,hybrid_adaptive,tool_cascade,1.0,1.0
real_research7b_long,hybrid_adaptive,context_corruption,0.8333333333333334,2.0
real_research7b_long,hybrid_adaptive,malformed_json,1.0,0.0
real_research7b_long,hybrid_adaptive,rate_limit,1.0,1.0
real_research7b_long,hybrid_adaptive,timeout,1.0,1.0
real_research7b_long,hybrid_adaptive,wrong_document,0.0,
