dataset,dim,auroc,detection_rate,healthy_fa_rate,det[context_corruption],det[wrong_document],det[malformed_json]
langgraph7b,query_dis,0.5353218210361067,0.01098901098901099,0.0,0.029411764705882353,,
langgraph7b,reason_dis,0.6153846153846154,0.18681318681318682,0.0,0.11764705882352941,,
langgraph7b,self_dis,0.5782312925170068,0.0,0.0,0.0,,
langgraph7b,json_broken,0.5,0.0,0.0,0.0,,
langgraph7b,char_anom,0.40659340659340665,0.03296703296703297,0.0,0.0,,
langgraph7b,consec_dis,0.6250654107796965,0.0,0.0,0.0,,
langgraph7b,drift,0.5091575091575091,0.10989010989010989,0.09523809523809523,0.17647058823529413,,
langgraph7b,mem_dis,0.6153846153846154,0.18681318681318682,0.0,0.11764705882352941,,
langgraph7b,lex_miss,0.6813186813186813,0.3626373626373626,0.0,0.0,,
real_research7b,query_dis,0.7504873294346978,0.28654970760233917,0.08333333333333333,0.045454545454545456,0.36363636363636365,0.4090909090909091
real_research7b,reason_dis,0.4962231968810917,0.03508771929824561,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,self_dis,0.5910087719298246,0.06432748538011696,0.041666666666666664,0.045454545454545456,0.0,0.0
real_research7b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research7b,char_anom,0.47904483430799216,0.25146198830409355,0.08333333333333333,0.7727272727272727,0.0,1.0
real_research7b,consec_dis,0.606603313840156,0.08771929824561403,0.08333333333333333,0.045454545454545456,0.0,0.0
real_research7b,drift,0.6020955165692007,0.011695906432748537,0.0,0.045454545454545456,0.0,0.0
real_research7b,mem_dis,0.49597953216374274,0.03508771929824561,0.041666666666666664,0.0,0.0,0.18181818181818182
real_research7b,lex_miss,0.6988304093567251,0.3684210526315789,0.0,0.22727272727272727,1.0,0.0
real_research3b,query_dis,0.5341614906832298,0.21739130434782608,0.14285714285714285,0.16666666666666666,0.2,0.3333333333333333
real_research3b,reason_dis,0.5978260869565217,0.1956521739130435,0.0,0.0,0.0,0.8333333333333334
real_research3b,self_dis,0.3586956521739131,0.0,0.0,0.0,0.0,0.0
real_research3b,json_broken,0.5,0.0,0.0,0.0,0.0,0.0
real_research3b,char_anom,0.40217391304347827,0.2608695652173913,0.2857142857142857,0.3333333333333333,0.0,1.0
real_research3b,consec_dis,0.41925465838509324,0.043478260869565216,0.0,0.0,0.2,0.0
real_research3b,drift,0.24844720496894412,0.021739130434782608,0.14285714285714285,0.0,0.0,0.0
real_research3b,mem_dis,0.5978260869565217,0.1956521739130435,0.0,0.0,0.0,0.8333333333333334
real_research3b,lex_miss,0.7065217391304348,0.0,0.0,0.0,0.0,0.0
