primary,other,mean_lead_all_diff,perm_p_value,wilcoxon_p_value,det_primary_only,det_other_only,mcnemar_p_value
esn_cusum_max,rolling_surprisal,3.4425,4.999750012499375e-05,4.562229367272226e-47,238,0,4.527839539413356e-72
esn_cusum_max,cosine_drift,2.5425,4.999750012499375e-05,1.8696517298327334e-24,218,36,6.153882397176921e-33
esn_cusum_max,iforest,2.325,4.999750012499375e-05,1.213038346217458e-20,190,13,1.7994070137833738e-41
esn_cusum_max,self_drift,1.7725,4.999750012499375e-05,9.925382107422977e-11,206,58,1.2907948318249196e-20
esn_cusum_max,mahalanobis,1.3375,4.999750012499375e-05,1.5872574211569945e-14,147,1,8.35173884737591e-43
esn_cusum_max,esn[m],1.03,4.999750012499375e-05,6.253197033629568e-11,145,1,3.29585398809197e-42
esn_cusum_max,esn_cusum[m],1.03,4.999750012499375e-05,3.273923765915684e-14,108,4,2.4825502761483792e-27
esn_cusum_max,esn[u],0.87,0.005949702514874256,0.016560659122113974,146,45,1.201594196420286e-13
esn_cusum_max,tcn,0.835,4.999750012499375e-05,2.23274051981856e-12,94,12,6.198097598927681e-17
esn_cusum_max,esn_cusum[u],0.7575,0.013799310034498274,0.07554606084609958,134,47,7.008079216110915e-11
esn_cusum_max,delta_mahalanobis,0.305,0.07409629518524073,0.31347322546989764,115,10,9.11799030781427e-24
esn_cusum_max,esn_single,-1.175,4.999750012499375e-05,3.394516368945352e-11,69,30,0.00011094036326812598
esn_cusum_max,esn_full,-1.42,4.999750012499375e-05,3.583470058627423e-16,63,38,0.0165058557016076
esn_cusum_max,gru,-1.785,4.999750012499375e-05,6.896616044514257e-21,52,50,0.921191049253872
esn_cusum_max,lstm,-1.94,4.999750012499375e-05,5.741432057654527e-22,48,58,0.38212581052922034
esn_cusum_max,esn_cusum[e],-2.3425,4.999750012499375e-05,7.361640859837421e-17,60,62,0.9279107996055402
esn_cusum_max,esn_cusum,-2.52,4.999750012499375e-05,2.2895702433669808e-29,34,61,0.007313123139453615
esn_cusum_max,linear_ar,-2.53,4.999750012499375e-05,1.2207757224843504e-26,56,58,0.9254349612567239
esn_cusum_max,"esn_cusum[e,u]",-2.815,4.999750012499375e-05,6.438795276261494e-26,30,65,0.0004247927288947456
esn_cusum_max,esn[e],-2.875,4.999750012499375e-05,1.064809550628218e-21,64,60,0.7877465824023329
esn_cusum_max,"esn[e,u]",-3.275,4.999750012499375e-05,2.8403959990121484e-28,46,64,0.1046130581112671
