monitor,quantile,theta,healthy_fa_rate,detection_rate,median_delay,median_lead
esn_full,0.5,2.0141893600662657,0.59375,0.535,2.5,12.0
esn_full,0.5207916666666667,2.0943069273509916,0.56875,0.5475,3.0,11.0
esn_full,0.5415833333333333,2.1158641329156214,0.55625,0.5525,3.0,12.0
esn_full,0.562375,2.1859528139182776,0.54375,0.5575,3.0,11.0
esn_full,0.5831666666666666,2.288208572560386,0.5125,0.5725,3.0,11.0
esn_full,0.6039583333333334,2.298018792469793,0.5125,0.5725,3.0,11.0
esn_full,0.62475,2.355962183241544,0.48125,0.575,3.0,11.0
esn_full,0.6455416666666667,2.498025185269461,0.4375,0.5975,3.0,11.0
esn_full,0.6663333333333333,2.9875766878375805,0.3875,0.615,3.0,11.0
esn_full,0.687125,3.4821092255709054,0.34375,0.605,3.0,11.0
esn_full,0.7079166666666666,4.539085092490196,0.28125,0.5775,3.0,10.0
esn_full,0.7287083333333333,4.694497039151414,0.24375,0.5775,3.0,10.0
esn_full,0.7495,4.963295035226741,0.23125,0.575,3.0,10.0
esn_full,0.7702916666666666,5.06365195646072,0.2,0.57,3.0,10.0
esn_full,0.7910833333333334,5.233927458286648,0.175,0.5775,3.0,10.0
esn_full,0.811875,5.2528829611245325,0.175,0.5775,3.0,10.0
esn_full,0.8326666666666667,5.361534439879227,0.15,0.5775,3.0,10.0
esn_full,0.8534583333333333,5.430863198087159,0.15,0.58,3.0,9.0
esn_full,0.87425,5.686704550074032,0.11875,0.5725,4.0,9.0
esn_full,0.8950416666666667,5.7269370562285715,0.11875,0.5725,4.0,9.0
esn_full,0.9158333333333333,5.874670369858446,0.09375,0.565,4.0,9.0
esn_full,0.936625,6.062533120823623,0.0875,0.545,4.0,9.0
esn_full,0.9574166666666667,6.134259270706702,0.075,0.54,4.0,9.0
esn_full,0.9782083333333333,6.617612788218338,0.025,0.515,4.0,9.0
esn_full,0.999,7.445439065627583,0.00625,0.4525,4.0,8.0
esn_single,0.5,1.9565499335537437,0.55625,0.51,3.0,11.0
esn_single,0.5207916666666667,2.0133253532572564,0.54375,0.5275,3.0,11.0
esn_single,0.5415833333333333,2.0970147665192034,0.5375,0.52,3.0,11.0
esn_single,0.562375,2.1370027977686137,0.50625,0.53,3.0,11.5
esn_single,0.5831666666666666,2.168729681803211,0.50625,0.5375,3.0,12.0
esn_single,0.6039583333333334,2.1921397030275975,0.49375,0.55,3.0,12.0
esn_single,0.62475,2.271807381504965,0.46875,0.555,3.0,11.0
esn_single,0.6455416666666667,2.406179213094521,0.45625,0.5625,3.0,11.0
